age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,services,married,high.school,no,yes,no,telephone,may,mon,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
49,technician,married,professional.course,no,no,no,telephone,may,mon,360,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
78,retired,divorced,unknown,no,yes,no,telephone,may,mon,520,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
32,services,single,high.school,no,yes,no,telephone,may,mon,158,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
32,technician,single,high.school,no,no,yes,telephone,may,mon,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
37,admin.,single,university.degree,no,yes,no,telephone,may,mon,256,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
38,admin.,married,university.degree,unknown,no,no,telephone,may,mon,112,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
32,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
29,unemployed,married,professional.course,no,no,yes,telephone,may,mon,142,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,256,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
36,services,married,basic.9y,no,yes,yes,telephone,may,mon,141,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
41,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,341,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
48,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
36,services,married,high.school,no,yes,no,telephone,may,mon,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
47,services,married,high.school,no,no,yes,telephone,may,mon,155,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
36,housemaid,divorced,basic.4y,no,no,no,telephone,may,mon,341,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
60,technician,married,professional.course,no,no,no,telephone,may,mon,101,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
38,admin.,married,university.degree,no,yes,no,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
35,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,101,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
43,admin.,married,university.degree,no,no,no,telephone,may,mon,756,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
55,admin.,divorced,university.degree,no,yes,no,telephone,may,mon,332,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
37,services,married,high.school,no,yes,no,telephone,may,mon,230,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
45,admin.,single,university.degree,no,no,no,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
46,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,210,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
48,services,married,high.school,no,yes,no,telephone,may,mon,201,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
